country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
Lithuania,"$136,227,000,000 USD","$7,406,000,000 USD","$5,651,760,000 USD","$48,400,000,000 USD","65,300 km",90 km,"1,545 km",441 km,"2,628,186","1,708,321","1,332,490","36,795","23,000","104,000","14,150","1,500","21,000",700,"36,330","Stock: 9			
Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (55.6%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (44.4%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 4,553            	
Readiness: 2,732*","Stock: 16				
Readiness: 10*","Stock: 54				
Readiness: 32*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,"4,000 bbl","67,000 bbl","-63,000 bbl","12,000,000 bbl",0 cu.m,"1,601,000,000 cu.m","-1,601,000,000 cu.m",0 cu.m,0 mt,"166,000 mt","-166,000 mt",0 mt,89.0%,"1,548,000",59,2,64,"83,821 km","1,911 km",1.8949
Tanzania,"$246,706,000,000 USD","$5,371,525,000 USD","$1,476,113,361 USD","$17,513,000,000 USD","947,300 km","1,424 km","4,161 km",0 km,"67,462,121","12,143,182","6,678,750","607,159","25,000",0,"6,500","1,825","21,975","1,200","599,494","Stock: 38			
Readiness: 17*","Stock: 11 (28.9%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (15.8%)

Readiness: 3*","Stock: 6 (15.8%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (39.5%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 200				
Readiness: 100*","Stock: 8,408            	
Readiness: 4,204*","Stock: 0				
Readiness: 0*","Stock: 205				
Readiness: 103*","Stock: 70				
Readiness: 35*",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0 bbl,"85,000 bbl","-85,000 bbl",0 bbl,"1,808,000,000 cu.m","1,808,000,000 cu.m",0 cu.m,"6,513,000,000 cu.m","2,341,000 mt","740,000 mt","+1,601,000 mt","1,410,000,000 mt",29.0%,"32,983,000",381,8,206,"145,203 km","4,097 km",1.9111
New Zealand,"$257,117,000,000 USD","$22,065,000,000 USD","$2,455,949,332 USD","$230,651,410,000 USD","268,838 km","15,134 km",NONE - ISLAND,0 km,"5,161,211","2,219,321","1,775,457","61,935","10,050","3,300",300,"2,875","6,345","2,873","61,153","Stock: 47			
Readiness: 31*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (14.9%)

Readiness: 5*","Stock: 13 (27.7%)

Readiness: 8*","Stock: 6 (12.8%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 21 (44.7%)

Readiness: 14*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,378            	
Readiness: 2,365*","Stock: 0				
Readiness: 0*","Stock: 31				
Readiness: 22*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,"12,000 bbl","154,000 bbl","-142,000 bbl","40,993,000 bbl","3,770,000,000 cu.m","3,819,000,000 cu.m","-49,000,000 cu.m","31,149,000,000 cu.m","3,011,000 mt","2,696,000 mt","+315,000 mt","6,750,000,000 mt",96.0%,"3,124,000",117,22,206,"94,000 km","4,128 km",1.9258
Slovenia,"$103,118,000,000 USD","$2,832,000,000 USD","$1,782,000,000 USD","$60,500,000,000 USD","20,273 km",47 km,"1,211 km",710 km,"2,097,893","1,006,989","826,570","22,867","7,000","26,000","5,000",615,"32,035",350,"22,578","Stock: 40			
Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (12.5%)

Readiness: 4*","Stock: 23 (57.5%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (40.0%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 54				
Readiness: 38*","Stock: 4,636            	
Readiness: 3,245*","Stock: 17				
Readiness: 12*","Stock: 18				
Readiness: 13*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4 bbl,"44,000 bbl","-43,996 bbl",0 bbl,"3,863,000 cu.m","840,902,000 cu.m","-837,039,000 cu.m",0 cu.m,"2,440,000 mt","2,309,000 mt","+131,000 mt","95,000,000 mt",90.0%,"1,058,000",8,2,42,"38,125 km","1,207 km",1.9404
Mozambique,"$51,786,000,000 USD","$3,843,000,000 USD","$480,000,000 USD","$8,274,000,000 USD","799,380 km","2,470 km","4,783 km",460 km,"33,350,954","14,674,420","7,770,772","533,615","11,200",0,"3,000","4,000","11,200","1,000","526,878","Stock: 23			
Readiness: 12*","Stock: 8 (34.8%)

Readiness: 4*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 5 (21.7%)

Readiness: 3*","Stock: 1 (4.3%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (30.4%)

Readiness: 4*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 60				
Readiness: 30*","Stock: 3,488            	
Readiness: 1,744*","Stock: 0				
Readiness: 0*","Stock: 104				
Readiness: 52*","Stock: 12				
Readiness: 6*",0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0 bbl,"42,000 bbl","-42,000 bbl",0 bbl,"5,388,000,000 cu.m","1,347,000,000 cu.m","+4,041,000,000 cu.m","2,832,000,000,000 cu.m","10,583,000 mt","13,000 mt","+10,570,000 mt","1,792,000,000 mt",20.0%,"15,173,000",36,11,92,"30,562 km","4,787 km",1.9769
Mongolia,"$59,221,000,000 USD","$5,508,000,000 USD","$1,590,000,000 USD","$8,379,000,000 USD","1,564,116 km",LANDLOCKED,"8,082 km",580 km,"3,281,676","1,870,555","1,552,233","62,352","35,000","230,000","50,000","1,500","35,000",0,"61,565","Stock: 8			
Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (37.5%)

Readiness: 2*","Stock: 2 (25.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (37.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 420				
Readiness: 231*","Stock: 11,040            	
Readiness: 6,072*","Stock: 0				
Readiness: 0*","Stock: 500				
Readiness: 275*","Stock: 130				
Readiness: 72*",,,,,,,,,"15,000 bbl","39,000 bbl","-24,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"68,824,000 mt","8,941,000 mt","+59,883,000 mt","2,520,000,000 mt",83.0%,"1,449,000",318,0,37,"113,200 km","1,815 km",1.9987
Ireland,"$620,544,000,000 USD","$12,698,000,000 USD","$1,754,400,500 USD","$3,630,000,000,000 USD","70,273 km","1,448 km",443 km,956 km,"5,233,461","2,407,392","1,999,182","57,568","7,557","1,720",0,690,"7,705",800,"56,841","Stock: 23			
Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (21.7%)

Readiness: 3*","Stock: 8 (34.8%)

Readiness: 5*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 8 (34.8%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,296            	
Readiness: 2,142*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,600 bbl,"159,000 bbl","-158,400 bbl",0 bbl,"1,447,000,000 cu.m","5,280,000,000 cu.m","-3,833,000,000 cu.m","9,911,000,000 cu.m",0 mt,"1,341,000 mt","-1,341,000 mt","40,000,000 mt",97.0%,"2,857,000",94,21,100,"102,227 km","1,688 km",2.0661
Georgia,"$91,849,000,000 USD","$4,447,000,000 USD","$680,000,000 USD","$9,085,000,000 USD","69,700 km",310 km,"1,814 km",0 km,"4,900,961","2,744,538","2,225,036","93,118","37,000","205,500",0,"3,000","205,500",0,"91,942","Stock: 61			
Readiness: 34*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (8.2%)

Readiness: 3*","Stock: 2 (3.3%)

Readiness: 1*","Stock: 10 (16.4%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 44 (72.1%)

Readiness: 24*","Stock: 11 (18.0%)

Readiness: 6*","Stock: 132				
Readiness: 73*","Stock: 5,974            	
Readiness: 3,286*","Stock: 67				
Readiness: 37*","Stock: 121				
Readiness: 67*","Stock: 42				
Readiness: 23*",0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,300 bbl,"34,000 bbl","-33,700 bbl","35,000,000 bbl","8,760,000 cu.m","2,796,000,000 cu.m","-2,787,240,000 cu.m","8,495,000,000 cu.m","148,000 mt","384,000 mt","-236,000 mt","900,999,000 mt",82.0%,"1,833,000",26,3,21,"40,044 km","1,363 km",2.0779
Guatemala,"$232,673,000,000 USD","$24,412,000,000 USD","$616,000,000 USD","$11,862,000,000 USD","108,889 km",400 km,"1,667 km",990 km,"18,255,216","7,484,639","6,279,794","182,552","106,114","90,000","35,000","2,210","196,114","3,200","180,247","Stock: 35			
Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (8.6%)

Readiness: 2*","Stock: 10 (28.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (5.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (57.1%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,268            	
Readiness: 1,961*","Stock: 0				
Readiness: 0*","Stock: 110				
Readiness: 66*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,"6,000 bbl","117,000 bbl","-111,000 bbl","86,110,000 bbl","3,276,000 cu.m","2,986,000 cu.m","+290,000 cu.m",0 cu.m,0 mt,"1,012,000 mt","-1,012,000 mt",0 mt,56.0%,"7,575,000",9,3,58,"17,440 km",800 km,2.1277
Uruguay,"$108,502,000,000 USD","$17,378,000,000 USD","$1,903,440,000 USD","$54,450,000,000 USD","176,215 km",660 km,"1,591 km","1,600 km","3,425,330","1,575,652","1,322,177","54,805","24,000",0,"5,000","2,850","15,450","5,700","54,113","Stock: 43			
Readiness: 24*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (14.0%)

Readiness: 3*","Stock: 6 (14.0%)

Readiness: 3*","Stock: 12 (27.9%)

Readiness: 7*","Stock: 5 (11.6%)

Readiness: 3*","Stock: 2 (4.7%)

Readiness: 1*","Stock: 12 (27.9%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 62				
Readiness: 37*","Stock: 5,968            	
Readiness: 3,581*","Stock: 16				
Readiness: 10*","Stock: 83				
Readiness: 50*","Stock: 4				
Readiness: 2*",0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,400 bbl,"50,000 bbl","-49,600 bbl",0 bbl,0 cu.m,"86,037,000 cu.m","-86,037,000 cu.m",0 cu.m,0 mt,"8,000 mt","-8,000 mt",0 mt,90.0%,"1,768,000",58,8,65,"77,732 km","1,673 km",2.1537
Yemen,"$18,719,000,000 USD","$831,025,575 USD","$405,187,500 USD","$6,492,000,000 USD","527,968 km","1,906 km","1,601 km",0 km,"32,140,443","12,213,368","9,031,464","610,668","33,350",0,"20,000","3,850","56,350","3,250","602,959","Stock: 160			
Readiness: 64*","Stock: 68 (42.5%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (1.9%)

Readiness: 1*","Stock: 30 (18.8%)

Readiness: 12*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 59 (36.9%)

Readiness: 24*","Stock: 14 (8.8%)

Readiness: 6*","Stock: 0				
Readiness: 0*","Stock: 1,550            	
Readiness: 775*","Stock: 12				
Readiness: 6*","Stock: 60				
Readiness: 30*","Stock: 30				
Readiness: 15*",0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,"15,000 bbl","58,000 bbl","-43,000 bbl","3,000,000,000 bbl","189,432,000 cu.m","189,432,000 cu.m",0 cu.m,"478,555,000,000 cu.m",0 mt,"27,000 mt","-27,000 mt",0 mt,14.0%,"7,848,000",30,10,37,"71,300 km",0 km,2.1617
Cameroon,"$143,264,000,000 USD","$4,882,000,000 USD","$835,694,942 USD","$11,112,000,000 USD","475,440 km",400 km,"5,018 km",0 km,"30,966,105","10,528,476","6,224,187","495,458","38,000",0,"9,000",420,"47,000","1,000","489,203","Stock: 35			
Readiness: 12*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (17.1%)

Readiness: 2*","Stock: 6 (17.1%)

Readiness: 2*","Stock: 2 (5.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 21 (60.0%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 860            	
Readiness: 473*","Stock: 18				
Readiness: 10*","Stock: 52				
Readiness: 29*","Stock: 20				
Readiness: 11*",0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,"64,000 bbl","41,000 bbl","+23,000 bbl","200,000,000 bbl","2,595,000,000 cu.m","877,058,000 cu.m","+1,717,942,000 cu.m","135,071,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,42.0%,"11,119,000",198,7,37,"77,589 km",987 km,2.1689
Tajikistan,"$50,370,000,000 USD","$3,026,450,000 USD","$450,460,000 USD","$3,024,000,000 USD","144,100 km",LANDLOCKED,"4,130 km",200 km,"10,394,063","4,781,269","3,773,045","176,699","150,000","600,000","20,000","1,200","9,000",0,"174,468","Stock: 25			
Readiness: 14*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (4.0%)

Readiness: 1*","Stock: 4 (16.0%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (80.0%)

Readiness: 11*","Stock: 6 (24.0%)

Readiness: 3*","Stock: 38				
Readiness: 23*","Stock: 6,782            	
Readiness: 4,069*","Stock: 3				
Readiness: 2*","Stock: 13				
Readiness: 8*","Stock: 24				
Readiness: 14*",,,,,,,,,300 bbl,"31,000 bbl","-30,700 bbl","12,000,000 bbl","18,476,000 cu.m","85,567,000 cu.m","-67,091,000 cu.m","5,663,000,000 cu.m","2,394,000 mt","2,297,000 mt","+97,000 mt","4,075,000,000 mt",57.0%,"2,780,000",0,0,19,"30,000 km",680 km,2.1749
Armenia,"$60,909,000,000 USD","$3,685,000,000 USD","$1,480,000,000 USD","$6,002,000,000 USD","29,743 km",LANDLOCKED,"1,570 km",0 km,"2,976,765","1,666,988","1,366,335","44,651","65,000","210,000","5,000","5,000","65,000",0,"44,087","Stock: 69			
Readiness: 35*","Stock: 4 (5.8%)

Readiness: 2*","Stock: 14 (20.3%)

Readiness: 7*","Stock: 3 (4.3%)

Readiness: 2*","Stock: 12 (17.4%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 36 (52.2%)

Readiness: 18*","Stock: 20 (29.0%)

Readiness: 10*","Stock: 109				
Readiness: 60*","Stock: 1,412            	
Readiness: 777*","Stock: 104				
Readiness: 57*","Stock: 193				
Readiness: 106*","Stock: 100				
Readiness: 55*",,,,,,,,,0 bbl,"15,000 bbl","-15,000 bbl",0 bbl,0 cu.m,"2,861,000,000 cu.m","-2,861,000,000 cu.m",0 cu.m,300 mt,"19,000 mt","-18,700 mt","317,000,000 mt",80.0%,"1,510,000",0,0,11,"7,700 km",686 km,2.2016
Latvia,"$72,516,000,000 USD","$5,141,000,000 USD","$42,000,000 USD","$48,598,440,000 USD","64,589 km",498 km,"1,370 km",300 km,"1,801,246","810,561","648,449","16,211","17,870","38,000","12,500",250,"55,870","1,000","16,006","Stock: 3			
Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (100.0%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,410            	
Readiness: 2,217*","Stock: 47				
Readiness: 31*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,"2,000 bbl","33,000 bbl","-31,000 bbl",0 bbl,0 cu.m,"828,214,000 cu.m","-828,214,000 cu.m",0 cu.m,0 mt,"20,000 mt","-20,000 mt",0 mt,92.0%,"954,900",83,5,55,"57,972 km","2,216 km",2.2316
Honduras,"$71,297,000,000 USD","$8,036,000,000 USD","$612,300,000 USD","$7,785,000,000 USD","112,090 km",832 km,"1,575 km",465 km,"9,529,188","4,192,843","3,144,632","95,292","52,225",0,"23,000","8,520","83,000","4,000","94,089","Stock: 45			
Readiness: 25*","Stock: 6 (13.3%)

Readiness: 3*","Stock: 7 (15.6%)

Readiness: 4*","Stock: 10 (22.2%)

Readiness: 6*","Stock: 10 (22.2%)

Readiness: 6*","Stock: 1 (2.2%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (24.4%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 22				
Readiness: 14*","Stock: 4,666            	
Readiness: 3,033*","Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 31*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,20 bbl,"71,000 bbl","-70,980 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,"144,000 mt","-144,000 mt",0 mt,58.0%,"4,296,000",489,8,129,"14,742 km",699 km,2.2575
Mali,"$71,253,000,000 USD","$647,800,000 USD","$1,110,000,000 USD","$4,085,000,000 USD","1,240,192 km",LANDLOCKED,"7,908 km","1,800 km","21,990,607","6,817,088","4,288,168","351,850","40,000",0,"4,800",550,"44,800",0,"347,408","Stock: 44			
Readiness: 18*","Stock: 9 (20.5%)

Readiness: 4*","Stock: 12 (27.3%)

Readiness: 5*","Stock: 8 (18.2%)

Readiness: 3*","Stock: 4 (9.1%)

Readiness: 2*","Stock: 1 (2.3%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (22.7%)

Readiness: 4*","Stock: 8 (18.2%)

Readiness: 3*","Stock: 0				
Readiness: 0*","Stock: 3,717            	
Readiness: 1,673*","Stock: 0				
Readiness: 0*","Stock: 50				
Readiness: 23*","Stock: 30				
Readiness: 14*",,,,,,,,,0 bbl,"46,000 bbl","-46,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,0 mt,0 mt,0 mt,35.0%,"9,126,000",0,0,30,"139,107 km",593 km,2.2598
Zimbabwe,"$57,391,000,000 USD","$484,973,000 USD","$1,976,800,000 USD","$6,671,000,000 USD","390,757 km",LANDLOCKED,"3,229 km",0 km,"17,150,352","6,517,134","3,721,626","360,157","29,000",0,"21,800","5,000","25,000",0,"355,610","Stock: 80			
Readiness: 40*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 14 (17.5%)

Readiness: 7*","Stock: 20 (25.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 28 (35.0%)

Readiness: 14*","Stock: 6 (7.5%)

Readiness: 3*","Stock: 60				
Readiness: 33*","Stock: 1,248            	
Readiness: 686*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",,,,,,,,,800 bbl,"34,000 bbl","-33,200 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"7,968,000 mt","6,705,000 mt","+1,263,000 mt","502,000,000 mt",38.0%,"6,386,000",0,0,144,"97,267 km","3,427 km",2.2801
Estonia,"$57,001,000,000 USD","$2,075,000,000 USD","$2,375,000,000 USD","$29,040,000,000 USD","45,228 km","3,794 km",657 km,335 km,"1,193,791","584,958","456,028","13,132","7,700","230,000","10,000",400,"44,000",550,"12,966","Stock: 2			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 2,579            	
Readiness: 1,805*","Stock: 48				
Readiness: 34*","Stock: 0				
Readiness: 0*","Stock: 6				
Readiness: 4*",0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,"24,000 bbl","27,000 bbl","-3,000 bbl",0 bbl,0 cu.m,"354,912,000 cu.m","-354,912,000 cu.m",0 cu.m,0 mt,800 mt,-800 mt,0 mt,93.0%,"756,200",72,20,34,"89,382 km","1,441 km",2.3201
Uganda,"$144,137,000,000 USD","$3,432,750,000 USD","$1,510,000,000 USD","$10,469,000,000 USD","241,038 km",LANDLOCKED,"2,729 km",0 km,"49,283,041","16,756,234","9,905,891","985,661","45,000",0,"10,000","1,200","43,800",0,"973,218","Stock: 51			
Readiness: 26*","Stock: 6 (11.8%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (5.9%)

Readiness: 2*","Stock: 12 (23.5%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 30 (58.8%)

Readiness: 15*","Stock: 6 (11.8%)

Readiness: 3*","Stock: 259				
Readiness: 142*","Stock: 9,702            	
Readiness: 5,336*","Stock: 6				
Readiness: 3*","Stock: 26				
Readiness: 14*","Stock: 12				
Readiness: 7*",,,,,,,,,0 bbl,"44,000 bbl","-44,000 bbl","2,500,000,000 bbl",0 cu.m,0 cu.m,0 cu.m,"14,158,000,000 cu.m",19 mt,0 mt,+19 mt,"799,999,000 mt",15.0%,"22,829,000",0,0,39,"20,544 km","1,244 km",2.3252
Ivory Coast,"$215,018,000,000 USD","$7,583,484,000 USD","$18,200,000 USD","$26,576,000,000 USD","322,463 km",515 km,"3,458 km",980 km,"29,981,758","12,292,521","7,855,221","569,653","22,000",0,"5,500",460,"22,000","1,000","562,461","Stock: 22			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (13.6%)

Readiness: 1*","Stock: 2 (9.1%)

Readiness: 1*","Stock: 3 (13.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 14 (63.6%)

Readiness: 6*","Stock: 5 (22.7%)

Readiness: 2*","Stock: 0				
Readiness: 0*","Stock: 1,328            	
Readiness: 664*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 2*","Stock: 6				
Readiness: 3*",0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"29,000 bbl","87,000 bbl","-58,000 bbl","100,000,000 bbl","2,635,000,000 cu.m","2,635,000,000 cu.m",0 cu.m,"28,317,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,41.0%,"12,595,000",25,5,29,"81,996 km",660 km,2.3884
Kyrgyzstan,"$50,907,000,000 USD","$5,089,000,000 USD","$654,000,000 USD","$3,617,000,000 USD","199,951 km",LANDLOCKED,"4,573 km",576 km,"6,172,101","3,147,772","2,487,357","117,270","23,000",0,"55,000",500,"20,000",0,"115,790","Stock: 7			
Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (100.0%)

Readiness: 4*","Stock: 2 (28.6%)

Readiness: 1*","Stock: 215				
Readiness: 129*","Stock: 5,372            	
Readiness: 3,223*","Stock: 30				
Readiness: 18*","Stock: 174				
Readiness: 104*","Stock: 21				
Readiness: 13*",,,,,,,,,"6,000 bbl","31,000 bbl","-25,000 bbl","40,000,000 bbl","31,026,000 cu.m","438,000,000 cu.m","-406,974,000 cu.m","5,663,000,000 cu.m","3,685,000 mt","4,212,000 mt","-527,000 mt","28,499,000,000 mt",89.0%,"3,197,000",0,0,28,"34,000 km",424 km,2.3969
Luxembourg,"$86,871,000,000 USD","$2,789,000,000 USD","$1,530,685,000 USD","$5,203,000,000,000 USD","2,586 km",LANDLOCKED,327 km,37 km,"671,254","154,388","92,633","3,356","1,200",0,0,0,"1,200",0,"3,314","Stock: 1			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 476            	
Readiness: 309*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",,,,,,,,,0 bbl,"51,000 bbl","-51,000 bbl",0 bbl,0 cu.m,"594,240,000 cu.m","-594,240,000 cu.m",0 cu.m,0 mt,"34,000 mt","-34,000 mt",0 mt,99.0%,"350,000",147,0,3,"2,746 km",271 km,2.4429
